date,customs_duties,imports_value,effective_rate,year,month
1986-01-01,1098,29771.1,3.6881405121073794,1986,1
1986-02-01,948,27080.4,3.500686843621217,1986,2
1986-03-01,1036,29387.5,3.5253083794130156,1986,3
1986-04-01,1087,30656.7,3.545717575603376,1986,4
1986-05-01,1040,30177.1,3.446321879836035,1986,5
1986-06-01,1160,30709.4,3.7773450474447565,1986,6
1986-07-01,1305,31885.3,4.0927951124813005,1986,7
1986-08-01,1272,29479.6,4.314848234033026,1986,8
1986-09-01,1236,30928.8,3.9962753162101343,1986,9
1986-10-01,1285,32826.7,3.9144964312587014,1986,10
1986-11-01,1094,32495.2,3.3666510746202514,1986,11
1986-12-01,1133,30039.9,3.7716503716723424,1986,12
1987-01-01,1195,30798.5,3.880059093787035,1987,1
1987-02-01,1120,29810.3,3.757090670003321,1987,2
1987-03-01,1284,32464.3,3.9551137711270536,1987,3
1987-04-01,1225,32291.1,3.7936149589205694,1987,4
1987-05-01,1212,33170,3.6539041302381667,1987,5
1987-06-01,1415,35358,4.001923185700549,1987,6
1987-07-01,1420,35809.9,3.965383874291746,1987,7
1987-08-01,1370,33826.2,4.050114999615683,1987,8
1987-09-01,1278,33667.5,3.7959456449097795,1987,9
1987-10-01,1317,38075.6,3.4589080671085943,1987,10
1987-11-01,1247,35210.9,3.5415169734372025,1987,11
1987-12-01,1361,35758.7,3.8060667753581647,1987,12
1988-01-01,1195,33035.4,3.617331710831411,1988,1
1988-02-01,1296,35494.1,3.651311062965394,1988,2
1988-03-01,1444,36998.7,3.9028398295075233,1988,3
1988-04-01,1204,34961.1,3.4438275683545427,1988,4
1988-05-01,1282,36107.5,3.5505088970435508,1988,5
1988-06-01,1430,38540.8,3.7103537030886744,1988,6
1988-07-01,1343,35397.3,3.7940746893124615,1988,7
1988-08-01,1650,37545.4,4.39467950800897,1988,8
1988-09-01,1367,36303.6,3.7654667856631296,1988,9
1988-10-01,1381,38795.2,3.5597187280900737,1988,10
1988-11-01,1403,38389.3,3.6546641902821877,1988,11
1988-12-01,1391,39383.9,3.5319000911539993,1988,12
1989-01-01,1316,36179.3,3.637439088097337,1989,1
1989-02-01,1347,36548.8,3.6854835179267167,1989,2
1989-03-01,1476,40196.9,3.671924949436399,1989,3
1989-04-01,1263,38243.2,3.3025479039410928,1989,4
1989-05-01,1466,40958.6,3.579223899254369,1989,5
1989-06-01,1482,40544.2,3.655270050956734,1989,6
1989-07-01,1495,39290,3.805039450241792,1989,7
1989-08-01,1774,40440.1,4.386734948726636,1989,8
1989-09-01,1352,38680.1,3.4953373957151097,1989,9
1989-10-01,1493,43536.2,3.4293300747423983,1989,10
1989-11-01,1421,41033,3.4630663124801986,1989,11
1989-12-01,1293,37560.5,3.442446186818599,1989,12
1990-01-01,1440,40303.8,3.5728640971819035,1990,1
1990-02-01,1228,37111.9,3.308911696787284,1990,2
1990-03-01,1397,42339.3,3.299534947436542,1990,3
1990-04-01,1273,39143.9,3.2521031373981644,1990,4
1990-05-01,1371,40846.3,3.356485165118995,1990,5
1990-06-01,1387,40946.2,3.387371721918029,1990,6
1990-07-01,1505,41495.1,3.626934264527619,1990,7
1990-08-01,1627,42231.8,3.8525471327293648,1990,8
1990-09-01,1273,40601.5,3.135352142162235,1990,9
1990-10-01,1528,47394.8,3.2239823778135994,1990,10
1990-11-01,1354,43795.9,3.091613598533196,1990,11
1990-12-01,1281,39100.1,3.27620645471495,1990,12
1991-01-01,1324,40243.7,3.2899559434147454,1991,1
1991-02-01,1215,36975.9,3.285924074870388,1991,2
1991-03-01,1271,38708.3,3.283533505733912,1991,3
1991-04-01,1219,39547.7,3.0823537146281583,1991,4
1991-05-01,1244,40181.3,3.0959675271830425,1991,5
1991-06-01,1215,39428.2,3.081550768231875,1991,6
1991-07-01,1464,41337.8,3.5415527676847822,1991,7
1991-08-01,1484,41082.4,3.612252448737172,1991,8
1991-09-01,1322,41501.9,3.185396331252304,1991,9
1991-10-01,1607,46631,3.446205314061461,1991,10
1991-11-01,1412,41911.2,3.36902784935769,1991,11
1991-12-01,1405,40903.7,3.434897087549537,1991,12
1992-01-01,1367,39984.9,3.418790593449027,1992,1
1992-02-01,1291,39075,3.303902751119642,1992,2
1992-03-01,1412,43343.9,3.2576671688519028,1992,3
1992-04-01,1374,42924.3,3.2009840579811435,1992,4
1992-05-01,1224,42146,2.904190195985384,1992,5
1992-06-01,1477,45811.5,3.224081289632516,1992,6
1992-07-01,1658,45872.4,3.6143737846722646,1992,7
1992-08-01,1579,45055,3.5046054821884365,1992,8
1992-09-01,1552,46502.8,3.3374334448678358,1992,9
1992-10-01,1666,49820.2,3.3440251143110626,1992,10
1992-11-01,1503,46313.2,3.2452950778611718,1992,11
1992-12-01,1539,45812.5,3.3593451568894954,1992,12
1993-01-01,1310,42057.7,3.1147685203898456,1993,1
1993-02-01,1347,41816.7,3.2212010990824242,1993,2
1993-03-01,1598,50744.6,3.1491035499343774,1993,3
1993-04-01,1544,47850.1,3.2267435177773924,1993,4
1993-05-01,1419,46330,3.0628102741204404,1993,5
1993-06-01,1642,50361.4,3.260433586040102,1993,6
1993-07-01,1761,48316.8,3.644695012914762,1993,7
1993-08-01,1828,48610.1,3.7605353619926722,1993,8
1993-09-01,1646,50526.8,3.257677113927658,1993,9
1993-10-01,1708,53889.3,3.1694603566941857,1993,10
1993-11-01,1688,51433.5,3.2819077060670576,1993,11
1993-12-01,1584,48719.2,3.2512849143664106,1993,12
1994-01-01,1526,46514.1,3.280725629432796,1994,1
1994-02-01,1419,46653.7,3.041559404720312,1994,2
1994-03-01,1745,54662.7,3.192304807482982,1994,3
1994-04-01,1479,51471.7,2.8734236483349105,1994,4
1994-05-01,1620,52986.7,3.0573710006473327,1994,5
1994-06-01,1711,57138.9,2.9944573661726075,1994,6
1994-07-01,1782,54806.9,3.2514154239703394,1994,7
1994-08-01,2039,59303.5,3.4382456347433124,1994,8
1994-09-01,1799,58879.4,3.0553979829957503,1994,9
1994-10-01,1848,61969.8,2.9820977314756543,1994,10
1994-11-01,1827,61334,2.9787719698698925,1994,11
1994-12-01,1747,57530.4,3.036655403056471,1994,12
1995-01-01,1539,57292.9,2.686196718965177,1995,1
1995-02-01,1435,55217.1,2.598832608014546,1995,2
1995-03-01,1470,63583.6,2.31191690939173,1995,3
1995-04-01,1349,59792.7,2.2561282564594007,1995,4
1995-05-01,1471,63198.4,2.3275905719132126,1995,5
1995-06-01,1583,64090.5,2.4699448436195692,1995,6
1995-07-01,1603,61856.7,2.591473518632582,1995,7
1995-08-01,1794,64452.1,2.7834624473058285,1995,8
1995-09-01,1634,63416,2.5766368108994575,1995,9
1995-10-01,1786,67389.6,2.650260574331944,1995,10
1995-11-01,1593,63576.5,2.5056428082703515,1995,11
1995-12-01,1439,59678.9,2.411237472540546,1995,12
1996-01-01,1482,61909.4,2.3938206475914803,1996,1
1996-02-01,1456,60579.5,2.403453313414604,1996,2
1996-03-01,1528,63363.3,2.411490563149331,1996,3
1996-04-01,1388,64663.4,2.1465001840299145,1996,4
1996-05-01,1427,66856.9,2.1344094625984753,1996,5
1996-06-01,1450,64195.8,2.258714744578306,1996,6
1996-07-01,1712,67681.5,2.529494765925696,1996,7
1996-08-01,1807,68025.4,2.6563607123221624,1996,8
1996-09-01,1604,68308.8,2.3481601199259834,1996,9
1996-10-01,1432,74117.3,1.932072539069826,1996,10
1996-11-01,1219,68015.4,1.7922411689117468,1996,11
1996-12-01,1520,67569.9,2.2495223464885994,1996,12
1997-01-01,1468,67271.9,2.18218899718902,1997,1
1997-02-01,1379,65090.4,2.1185919889876232,1997,2
1997-03-01,1315,70606.1,1.8624453127987524,1997,3
1997-04-01,1492,71168.9,2.096421330103458,1997,4
1997-05-01,1443,71430.4,2.0201482842039247,1997,5
1997-06-01,1522,71575.5,2.12642594183764,1997,6
1997-07-01,1799,74815.3,2.404588366283367,1997,7
1997-08-01,1749,72925.3,2.398344607427052,1997,8
1997-09-01,1590,76750.9,2.0716369449739354,1997,9
1997-10-01,1802,81348.6,2.21515797444578,1997,10
1997-11-01,1354,72049.4,1.8792661701554767,1997,11
1997-12-01,1416,74670.3,1.8963362943499624,1997,12
1998-01-01,1387,70223.9,1.9751110376951437,1998,1
1998-02-01,1454,68394,2.1259174781413575,1998,2
1998-03-01,1412,78095.7,1.808038086604,1998,3
1998-04-01,1428,75743.9,1.885300334416369,1998,4
1998-05-01,1297,73997.7,1.752757180290739,1998,5
1998-06-01,1568,76918.1,2.0385318930134777,1998,6
1998-07-01,1777,76336.4,2.32785407747811,1998,7
1998-08-01,1732,76014,2.2785276396453282,1998,8
1998-09-01,1701,78434.7,2.1686829936239955,1998,9
1998-10-01,1776,83711.4,2.1215748392692033,1998,10
1998-11-01,1380,78020.1,1.7687749695270834,1998,11
1998-12-01,1472,76006.8,1.9366688243683459,1998,12
1999-01-01,1286,71766.3,1.7919274088255908,1999,1
1999-02-01,1403,73848.6,1.8998329013684752,1999,2
1999-03-01,1546,84071.9,1.8389021777787822,1999,3
1999-04-01,1350,79979.8,1.687926201365845,1999,4
1999-05-01,1256,80964.8,1.5512914254095607,1999,5
1999-06-01,1599,87878.9,1.8195494026438657,1999,6
1999-07-01,1725,86775.4,1.9878905772834237,1999,7
1999-08-01,1814,89748.3,2.0212082011581276,1999,8
1999-09-01,1727,90244.9,1.9136815487634204,1999,9
1999-10-01,1788,94460,1.8928647046368832,1999,10
1999-11-01,1621,93580.1,1.7322058856530393,1999,11
1999-12-01,1612,91296.5,1.765675573543345,1999,12
2000-01-01,1457,87187.8,1.6711053610711588,2000,1
2000-02-01,1212,91687.7,1.321878507149814,2000,2
2000-03-01,1681,103244.5,1.6281738978831801,2000,3
2000-04-01,1503,95141.1,1.579758905457263,2000,4
2000-05-01,1598,101067.5,1.581121527691889,2000,5
2000-06-01,1767,104526.5,1.6904804044907271,2000,6
2000-07-01,1781,101986.6,1.7463078482859513,2000,7
2000-08-01,2071,108166.7,1.9146373144415056,2000,8
2000-09-01,1823,106355.1,1.714069188971662,2000,9
2000-10-01,1900,113812.5,1.6694124107633168,2000,10
2000-11-01,1640,106394.5,1.5414330627992987,2000,11
2000-12-01,1461,98452.1,1.483970377472903,2000,12
2001-01-01,1694,101869.1,1.662918392328979,2001,1
2001-02-01,1474,91638.8,1.6084889806501177,2001,2
2001-03-01,1653,103536.9,1.596532250820722,2001,3
2001-04-01,1477,96264.3,1.5343174988027752,2001,4
2001-05-01,1501,96604.8,1.5537530226241345,2001,5
2001-06-01,1571,95662.9,1.6422249377762959,2001,6
2001-07-01,1755,94625.2,1.8546856439933548,2001,7
2001-08-01,1926,96727.7,1.99115661801118,2001,8
2001-09-01,1563,89483.4,1.7466926826651648,2001,9
2001-10-01,1920,101176.8,1.8976682401499159,2001,10
2001-11-01,1571,91705.3,1.713096189642256,2001,11
2001-12-01,1297,81702.9,1.5874589518854287,2001,12
2002-01-01,1562,85111.7,1.8352353436719042,2002,1
2002-02-01,1351,83472.6,1.6184951708704411,2002,2
2002-03-01,1219,91414.9,1.333480647028001,2002,3
2002-04-01,1207,96890.8,1.2457323089498693,2002,4
2002-05-01,1556,97648.9,1.5934639304692628,2002,5
2002-06-01,1557,96415.9,1.6148788737127384,2002,6
2002-07-01,1883,100471.9,1.8741558585037212,2002,7
2002-08-01,1960,102276.6,1.916371877829337,2002,8
2002-09-01,1518,99428.8,1.5267206282284407,2002,9
2002-10-01,1563,106250.8,1.471047747405196,2002,10
2002-11-01,1627,102564.5,1.5863188530144445,2002,11
2002-12-01,1655,99419,1.664671742825818,2002,12
2003-01-01,1681,97491,1.7242617267234923,2003,1
2003-02-01,1527,93153.9,1.6392228344706987,2003,2
2003-03-01,1577,105842.3,1.4899525048114033,2003,3
2003-04-01,1613,103869.2,1.5529146272427246,2003,4
2003-05-01,1442,102068.4,1.412778097824596,2003,5
2003-06-01,1606,103957.7,1.5448591109653254,2003,6
2003-07-01,1923,107631,1.7866599771441314,2003,7
2003-08-01,1827,102307,1.7858015580556559,2003,8
2003-09-01,1821,108321.9,1.6811004976832942,2003,9
2003-10-01,1982,117157.6,1.6917383080568398,2003,10
2003-11-01,1495,106066.3,1.4094957587848356,2003,11
2003-12-01,1597,109254.9,1.4617193370732113,2003,12
2004-01-01,1668,103993,1.60395411229602,2004,1
2004-02-01,1523,104864,1.4523573390296,2004,2
2004-03-01,1747,123421,1.4154803477528135,2004,3
2004-04-01,1746,118885,1.468646170669134,2004,4
2004-05-01,1515,118271,1.2809564474807857,2004,5
2004-06-01,1775,127657,1.3904447073015973,2004,6
2004-07-01,2105,123224,1.7082711160163604,2004,7
2004-08-01,2018,127216,1.5862784555401837,2004,8
2004-09-01,1911,126022,1.5164018980812872,2004,9
2004-10-01,2121,134816,1.5732553999525278,2004,10
2004-11-01,1825,134719,1.3546715756500567,2004,11
2004-12-01,1808,126617,1.4279283192620265,2004,12
2005-01-01,1806,122900,1.4694873881204231,2005,1
2005-02-01,1780,122233,1.4562352228939812,2005,2
2005-03-01,1954,135451,1.4425880945877105,2005,3
2005-04-01,1773,135456,1.3089121190644932,2005,4
2005-05-01,1756,136191,1.2893656702718974,2005,5
2005-06-01,2058,141426,1.4551779729328413,2005,6
2005-07-01,2077,136515,1.5214445299051387,2005,7
2005-08-01,2266,146397,1.5478459258044905,2005,8
2005-09-01,2154,146216,1.4731629917382503,2005,9
2005-10-01,2075,156162,1.3287483510713234,2005,10
2005-11-01,2073,150245,1.379746414190156,2005,11
2005-12-01,1921,144262,1.3316049964647656,2005,12
2006-01-01,1914,144562,1.3239993912646477,2006,1
2006-02-01,1844,134702,1.3689477513325712,2006,2
2006-03-01,1968,154040,1.277590236302259,2006,3
2006-04-01,1839,146919,1.2517101259877892,2006,4
2006-05-01,2017,159164,1.2672463622427184,2006,5
2006-06-01,2131,160487,1.327833407067239,2006,6
2006-07-01,2493,157768,1.5801683484610314,2006,7
2006-08-01,2190,167558,1.3070101099320832,2006,8
2006-09-01,2346,158470,1.4804063860667633,2006,9
2006-10-01,2457,164028,1.4979149901236375,2006,10
2006-11-01,2230,157288,1.4177813946391333,2006,11
2006-12-01,1505,148952,1.010392609699769,2006,12
2007-01-01,2161,150833,1.432710348531157,2007,1
2007-02-01,1991,139793,1.4242487105935204,2007,2
2007-03-01,2153,161363,1.3342587829923835,2007,3
2007-04-01,1981,156583,1.2651437256918057,2007,4
2007-05-01,2060,163323,1.2613042865977235,2007,5
2007-06-01,2172,164462,1.3206698203840401,2007,6
2007-07-01,2372,166765,1.422360807123797,2007,7
2007-08-01,2606,170766,1.5260649075342867,2007,8
2007-09-01,2323,162772,1.4271496326149462,2007,9
2007-10-01,2509,182044,1.3782382281206742,2007,10
2007-11-01,2478,175663,1.4106556303831768,2007,11
2007-12-01,2127,162594,1.3081663530019558,2007,12
2008-01-01,2234,168350.2,1.326995750524799,2008,1
2008-02-01,2223,165069.7,1.346703846920422,2008,2
2008-03-01,2070,171194,1.2091545264436838,2008,3
2008-04-01,2075,182115.1,1.139389320270532,2008,4
2008-05-01,2158,182956.3,1.1795166386727323,2008,5
2008-06-01,2306,190117.1,1.2129366585120434,2008,6
2008-07-01,2678,202614.4,1.321722444209296,2008,7
2008-08-01,2226,189874.9,1.1723508478477145,2008,8
2008-09-01,2483,180189,1.3779975470200734,2008,9
2008-10-01,2633,185882.2,1.4164885072373794,2008,10
2008-11-01,2225,147515,1.5083211876758296,2008,11
2008-12-01,2038,137762.9,1.4793532946823855,2008,12
2009-01-01,2085,122414.6,1.703228209707012,2009,1
2009-02-01,1682,109012.2,1.542946569283071,2009,2
2009-03-01,1522,121358.7,1.2541334078232544,2009,3
2009-04-01,1878,118895.8,1.5795343485640367,2009,4
2009-05-01,1383,116341.5,1.1887417645466147,2009,5
2009-06-01,1498,127173.2,1.1779211343270437,2009,6
2009-07-01,2073,135695.8,1.527681770548536,2009,7
2009-08-01,1455,131271.6,1.1083890194070918,2009,8
2009-09-01,1983,141004.5,1.4063380955926938,2009,9
2009-10-01,2159,147026.9,1.4684387686879068,2009,10
2009-11-01,1912,143324.3,1.3340375637627395,2009,11
2009-12-01,1853,146105.8,1.2682590287312345,2009,12
2010-01-01,2074,136725.4,1.5169090746854645,2010,1
2010-02-01,1692,133898.8,1.2636408989475636,2010,2
2010-03-01,1942,157728.8,1.2312272711134558,2010,3
2010-04-01,2117,153165,1.3821695557078966,2010,4
2010-05-01,1785,156153.2,1.1431081783786692,2010,5
2010-06-01,2156,168323.6,1.280866141170935,2010,6
2010-07-01,2649,163910,1.61613080348972,2010,7
2010-08-01,2332,171004.1,1.3637099929182983,2010,8
2010-09-01,2626,167120.3,1.571323172588848,2010,9
2010-10-01,2619,170320.1,1.5376928501098814,2010,10
2010-11-01,2458,168989.2,1.4545308220880386,2010,11
2010-12-01,2296,166518.1,1.3788290882492653,2010,12
2011-01-01,2421,167048.1,1.4492831705359115,2011,1
2011-02-01,2111,156320.7,1.350428957905127,2011,2
2011-03-01,2214,185977.7,1.1904653084751557,2011,3
2011-04-01,2461,178293.5,1.3803083118565735,2011,4
2011-05-01,2110,188953.4,1.1166774453383745,2011,5
2011-06-01,2511,191582.1,1.3106652448219327,2011,6
2011-07-01,2799,187230.2,1.4949511350198845,2011,7
2011-08-01,2647,196337.8,1.3481866456688423,2011,8
2011-09-01,2871,189566.8,1.5145057045854022,2011,9
2011-10-01,2844,191809.6,1.482720364361325,2011,10
2011-11-01,2626,190317.8,1.3797973705034423,2011,11
2011-12-01,2217,184516.6,1.2015179122095248,2011,12
2012-01-01,2268,183533.2,1.235743723751343,2012,1
2012-02-01,2339,171831.1,1.3612204077143193,2012,2
2012-03-01,2270,197350.1,1.1502401062882663,2012,3
2012-04-01,2616,189466.2,1.38072120515427,2012,4
2012-05-01,2199,198409.6,1.1083133074206086,2012,5
2012-06-01,2497,191786.7,1.3019672375613114,2012,6
2012-07-01,2913,192838.7,1.5105889015016176,2012,7
2012-08-01,2780,194941.5,1.426068846294914,2012,8
2012-09-01,2737,185682.8,1.4740191337054376,2012,9
2012-10-01,2940,198767.1,1.479118023053111,2012,10
2012-11-01,2664,194553.2,1.369291278683671,2012,11
2012-12-01,2460,177106.9,1.3889916203151882,2012,12
2013-01-01,2799,185168.6,1.5115953784820968,2013,1
2013-02-01,2284,170322.9,1.340982334142972,2013,2
2013-03-01,2526,181850.7,1.3890515681270403,2013,3
2013-04-01,2495,190555.3,1.3093312020185217,2013,4
2013-05-01,2400,196685.4,1.2202227516633162,2013,5
2013-06-01,2563,184930.5,1.3859260641159787,2013,6
2013-07-01,2884,197311.7,1.4616467244466496,2013,7
2013-08-01,2843,193050.7,1.4726701327682312,2013,8
2013-09-01,2956,191940.9,1.540057382246306,2013,9
2013-10-01,3166,205089.7,1.5437147745596194,2013,10
2013-11-01,2848,188617.8,1.509931724365357,2013,11
2013-12-01,2833,182462.7,1.5526461024636815,2013,12
2014-01-01,3000,186070.1,1.6122955810740147,2014,1
2014-02-01,2484,170711.2,1.4550890626977022,2014,2
2014-03-01,2475,194612.9,1.2717553666791872,2014,3
2014-04-01,2886,201243.8,1.4340814474781336,2014,4
2014-05-01,2434,200859.9,1.211789909285029,2014,5
2014-06-01,2600,198353,1.3107943918166098,2014,6
2014-07-01,3310,205134.2,1.6135778431875327,2014,7
2014-08-01,2867,197312.1,1.4530279693946797,2014,8
2014-09-01,3024,203729.7,1.4843196647322408,2014,9
2014-10-01,3485,211643.1,1.6466400274802249,2014,10
2014-11-01,2964,190689.7,1.5543576816157347,2014,11
2014-12-01,2791,195996.5,1.424005020497815,2014,12
2015-01-01,3023,181220.3,1.6681354130856203,2015,1
2015-02-01,2525,162949.7,1.5495579310670715,2015,2
2015-03-01,2627,198235.3,1.3251928390150494,2015,3
2015-04-01,3430,190066.4,1.804632486331093,2015,4
2015-05-01,2548,186571.1,1.3656991892099044,2015,5
2015-06-01,2941,197380.4,1.4900162326147885,2015,6
2015-07-01,3602,193673.9,1.8598272663482276,2015,7
2015-08-01,1908,189979.3,1.004319944330777,2015,8
2015-09-01,3198,191544.6,1.6695850470334326,2015,9
2015-10-01,3435,195248.9,1.7592928820597709,2015,10
2015-11-01,2887,182176.2,1.5847295091235847,2015,11
2015-12-01,2891,179765.3,1.6082080356998822,2015,12
2016-01-01,3047,165816.2,1.837576786827825,2016,1
2016-02-01,2540,168042.1,1.5115259806917434,2016,2
2016-03-01,2873,178405.4,1.6103772643653165,2016,3
2016-04-01,2798,173964,1.6083787450277067,2016,4
2016-05-01,2427,183394.3,1.3233780984468984,2016,5
2016-06-01,2781,188539.3,1.4750240400807684,2016,6
2016-07-01,3059,181779.4,1.6828089431475735,2016,7
2016-08-01,2953,193986.7,1.522269310215597,2016,8
2016-09-01,3145,185985.6,1.6909911304961243,2016,9
2016-10-01,3069,191999.7,1.5984399975624963,2016,10
2016-11-01,2897,191156.7,1.5155105732626688,2016,11
2016-12-01,2846,183716.5,1.5491259631007557,2016,12
2017-01-01,2967,185653.7,1.5981367459953666,2017,1
2017-02-01,2490,169238.1,1.4712999023269582,2017,2
2017-03-01,2667,194066.1,1.3742740231292327,2017,3
2017-04-01,3009,185868.2,1.6188890837701122,2017,4
2017-05-01,2421,200330.9,1.208500535863414,2017,5
2017-06-01,2871,198174.4,1.4487239522360105,2017,6
2017-07-01,3188,191754.5,1.6625424696682476,2017,7
2017-08-01,2947,201557.2,1.4621159650957645,2017,8
2017-09-01,3201,194517.3,1.645611984126862,2017,9
2017-10-01,3239,210605.9,1.5379436188634792,2017,10
2017-11-01,3100,207578.7,1.4934094875823,2017,11
2017-12-01,3107,200246.4,1.551588443038177,2017,12
2018-01-01,3188,203028.9,1.5702198061458246,2018,1
2018-02-01,2674,186770.2,1.4317059145409705,2018,2
2018-03-01,3084,207985.5,1.482795675660082,2018,3
2018-04-01,3448,205084.4,1.6812590328664687,2018,4
2018-05-01,2968,216026.5,1.3739055162213896,2018,5
2018-06-01,3510,211252.7,1.6615172255786552,2018,6
2018-07-01,4159,216854.2,1.9178784639633448,2018,7
2018-08-01,4249,221897,1.9148523864675953,2018,8
2018-09-01,4572,211317.5,2.163569037112402,2018,9
2018-10-01,5551,235857.7,2.3535377475486277,2018,10
2018-11-01,6285,213493,2.9438904320047965,2018,11
2018-12-01,5992,206577.7,2.9006035017332463,2018,12
2019-01-01,6628,203980.7,3.2493270196641153,2019,1
2019-02-01,5076,185267.5,2.739822149054745,2019,2
2019-03-01,5163,207511,2.4880608738813845,2019,3
2019-04-01,5237,208742.1,2.5088374601960983,2019,4
2019-05-01,4934,220207.6,2.2406129488718824,2019,5
2019-06-01,5606,206531.6,2.7143546072368583,2019,6
2019-07-01,6473,218311.1,2.9650347600282347,2019,7
2019-08-01,7005,215245.8,3.2544189015534797,2019,8
2019-09-01,6833,206148.9,3.3145944509041763,2019,9
2019-10-01,7757,218901.1,3.5436094199617996,2019,10
2019-11-01,6940,198974.6,3.4878823729259913,2019,11
2019-12-01,6449,201877.4,3.19451310547887,2019,12
2020-01-01,6918,195796.2,3.533265712000539,2020,1
2020-02-01,6286,178108,3.529319289419903,2020,2
2020-03-01,4815,193922.8,2.4829468221374693,2020,3
2020-04-01,4114,165611.9,2.484121008212574,2020,4
2020-05-01,3833,163494.1,2.3444271077671917,2020,5
2020-06-01,4480,179138.1,2.5008638586654652,2020,6
2020-07-01,5013,199927.7,2.5074064274235135,2020,7
2020-08-01,5896,203112,2.9028319350899996,2020,8
2020-09-01,6049,206083.7,2.9352151577247496,2020,9
2020-10-01,6156,218952.6,2.811567435143497,2020,10
2020-11-01,5965,212453.3,2.807675851587149,2020,11
2020-12-01,6047,214876.8,2.814170724806029,2020,12
2021-01-01,5871,204628.3,2.8691046155394933,2021,1
2021-02-01,6323,193435.1,3.2687966144717273,2021,2
2021-03-01,6275,236917.2,2.6486046601935187,2021,3
2021-04-01,7128,226461.8,3.147550712747139,2021,4
2021-05-01,6433,230414,2.7919310458565887,2021,5
2021-06-01,7150,242322.1,2.950618206098412,2021,6
2021-07-01,7509,237302.4,3.164316922205591,2021,7
2021-08-01,7270,245231.5,2.9645457455506325,2021,8
2021-09-01,7857,244355.8,3.2153932912580756,2021,9
2021-10-01,7770,251211.9,3.0930063424543186,2021,10
2021-11-01,7816,259390.2,3.013221008349583,2021,11
2021-12-01,8187,256845.2,3.187523068369586,2021,12
2022-01-01,8587,247008.6,3.4763971780739618,2022,1
2022-02-01,8049,233955.4,3.4403993239737147,2022,2
2022-03-01,8151,295671.9,2.7567719489068794,2022,3
2022-04-01,9162,272415.1,3.3632496877008657,2022,4
2022-05-01,8095,285287.2,2.8374914822676933,2022,5
2022-06-01,8364,285978,2.9247005014371736,2022,6
2022-07-01,8530,270391,3.1546907996198095,2022,7
2022-08-01,8456,283273,2.9851062402699866,2022,8
2022-09-01,8741,275053.1,3.177931824800375,2022,9
2022-10-01,8163,281439.4,2.9004467746875524,2022,10
2022-11-01,7171,255572,2.805862927081214,2022,11
2022-12-01,6552,253688.4,2.5826959372206217,2022,12
2023-01-01,6838,254625.8,2.685509480971685,2023,1
2023-02-01,6349,230169.8,2.758398365033119,2023,2
