date,logging,oil_gas_extraction,mining_ex_oil_gas,support_mining,utilities,construction,wood_products,nonmetallic_minerals,primary_metals,fabricated_metals,machinery,computer_electronic,electrical_equipment,motor_vehicles,furniture,misc_durable_mfg,food_misc_nondurable,textiles,apparel,paper_products,printing,petroleum_coal,chemicals,plastics_rubber,wholesale_trade,auto_dealers,food_bev_stores,general_merch,other_retail,air_transport,rail_transport,water_transport,truck_transport,transit_ground,pipeline_transport,other_transport_support,warehousing,publishing,motion_picture,broadcasting_telecom,data_processing,credit_intermediation,securities,insurance,funds_trusts,housing,other_real_estate,rental_leasing,legal_services,computer_systems_design,misc_professional,management_companies,admin_support,waste_management,education,ambulatory_health,hospitals,nursing_care,social_assistance,arts_sports,amusements,accommodation,food_services,other_services
1998-06-01,80.2,141.3,243,183.9,613.2,6130,610.3,536,645.1,1745,1522,1841.8,592.8,2086,641.1,728.3,1846.6999999999998,661.8,623.9,625.4,829.9,135.9,994.3,941.4,5754.3,1743.7,3050.6,2725.7,7063.499999999999,562.3,204.2,49.3,1357.2,362.4,48.2,1093.1,476,995.3,359.7,1515.1,338.9000000000003,19.3,686.4,2345.7,47.1,1277.9,1277.9,627.8,1034.4,970.5,13303.1,1777.5,7103,298.7,2223,4186,3865,2485.9,1792.9,443.6,1187.1,1772.5,7811.6,4974
1998-07-01,79.3,140.7,241.2,181.6,613.6,6172,611.9,533.3,636,1733.4,1517.8,1832.7,590.2,1957.6,640.5,728.1,1846.3,654.4,619.2,623.8,830.2,134.1,995.2,937.6,5753.2,1747.3,3055.1,2732.6,7078.9,564.9,204.3,50.1,1358.3,364.1,48.4,1096.3,477,997.8,368.1,1520.1999999999998,340.9000000000003,19.6,692.3,2349.8,47.7,1287.5,1287.5,631.3,1040.4,988.1,13322.5,1777.5,7107.1,299.7,2226.3,4182.8,3872.9,2487.8,1842.3,456,1194.3,1779.7,7817.9,4989
1998-08-01,79.5,140.9,241.9,179.4,612.5,6215,610.8,536.9,644,1741.9,1513.3,1827.4,592.6,2090.7,644.4,726.6,1847.1,654.2,612.4,624.4,828.1,133.6,995.1,939.5,5758.4,1747.9,3053.2,2733.6,7092.199999999999,566.3,204.6,50.6,1364.1,368.8,48.2,1103.1,479.2,998,369.9,1519.4,342.70000000000005,19.9,695.8,2353.6,48.2,1282.1,1282.1,634.2,1032.9,1002.4,13415.7,1778.1,7141.7,301.3,2223.5,4187.4,3878.5,2489.7,1814.4,453.9,1202.1,1783.9,7833.5,4995
1998-09-01,79.4,140.5,241,175.9,612,6225,612,536.9,642.7,1741,1509.5,1820.9,592.9,2096.7,645.7,727.1,1848.6,654.8,609.5,623.1,827,133.6,994.3,940.7,5766.1,1751.9,3059.4,2748.9,7089.800000000001,568.2,206.1,51.1,1364.2,369.8,48,1107.6,481.1,996.9,371.6,1525.8,346.70000000000005,19.8,700.4,2356.1,48.6,1286.5,1286.5,636.7,1023,1013.3,13378.7,1781.6,7114.6,302.3,2243.6,4194,3883.7,2496.4,1830,455,1217.8,1787.9,7850.7,5000
1998-10-01,79.3,139.8,241,172.3,611.1,6262,612.9,537.6,637.1,1738.5,1504.3,1811.4,591.5,2102.1,647.4,724.4,1842.4,651.1,598.3,621.8,827.5,133,992.1,938.4,5766.1,1755.8,3058.7,2754.6,7089.699999999999,568.2,204.7,51.5,1366.6,372.5,47.7,1110.4,482.2,998.3,372,1537.6000000000001,350.0999999999999,19.8,705.5,2360.1,48.9,1284.6,1284.6,638.4,1030.9,1029.9,13507.2,1782.6,7193.3,303.3,2261.6,4200.8,3889.8,2499.5,1840.4,452.2,1212.1,1792.9,7840.3,5013
1998-11-01,79.6,139.2,240.6,168.5,612.3,6301,614.7,538.6,632.3,1733.8,1496.1,1801.7,591,2096.4,649.1,723,1844.1000000000001,646.8,589.7,620,826.2,132.7,990.8,938.6,5774.8,1759.9,3061,2756.5,7114.200000000001,569.8,202.3,51.9,1365.1,373.1,47.8,1118.6999999999998,483.7,1000.6,372.9,1544.7,352.79999999999995,19.8,703.5999999999999,2364.1,49.2,1288.5,1288.5,639.4,1034.7,1048,13497.3,1783.8,7239.2,305,2272.7,4204.4,3892.5,2501.6,1852.6,457.2,1220.6,1794.4,7865.2,5021
1998-12-01,80.7,139.5,241.9,164.7,612.1,6378,617.8,539.8,632.6,1733.3,1490.8,1793.5,590.3,2097.8,651.9,722.4,1843.8999999999999,645.8,585.7,619.1,823.1,132.7,989.5,939.1,5790.4,1765.9,3062,2776.1,7132.4,571.7,202.4,51.8,1370.7,372.9,47.6,1120.2,485.2,1001.5,373.9,1556.1,356.5,19.9,705.6,2366.4,49.5,1291.3,1291.3,641.6,1038.8,1061.2,13461,1785.9,7296.6,307.3,2280.6,4210.5,3895.8,2504.2,1868.2,455.7,1228.3,1801.4,7890.8,5029
1999-01-01,80.1,138.2,240.3,158,609.9,6357,620.2,537.5,629.7,1733.3,1483.7,1783.6,588.8,2099.6,654.3,722.3,1843.6,643.3,581.4,618.9,824.9,131.5,987.2,942.9,5787.4,1772.5,3056,2778,7153.299999999999,574.3,204.1,52,1374.5,371.9,47.3,1112.2,486.6,1005.2,369.4,1569.5,358.9000000000001,20,708.6,2371.3,49.6,1295.1,1295.1,643.5,1034.5,1071.7,13194.8,1786.6,7325.9,308.9,2285,4212.1,3892.8,2508.4,1876.9,454.4,1223.5,1808.7,7898.8,5039
1999-02-01,79.8,137,240.1,152.9,610.8,6429,620.7,538.9,629.7,1731.9,1482.1,1781.4,588.5,2093.8,655.7,723.1,1840.8,639.4,569.6,618.9,821.1,131.3,986.6,941.2,5810.6,1781.2,3064.9,2779.5,7196.9,575,203,51.4,1375.4,373.9,47.4,1124.1999999999998,489.6,1009.4,377.8,1579.1999999999998,363.5999999999999,20.1,708.3000000000001,2371.1,49.8,1295.2,1295.2,647.6,1037,1082.7,13319.3,1789.1,7377.9,309.3,2301.7,4223.8,3903.6,2511.8,1891.4,451.20000000000005,1226.2,1811.5,7936.4,5051
1999-03-01,80.6,136.8,238.1,152.5,611.9,6402,621.3,537,629,1728.7,1478.4,1780.5,588.8,2098.7,657.2,723.3,1833.8,636.6,560.8,618,819.9,130.1,983.7,942.1,5815.7,1784.3,3066.2,2790.1,7204.000000000002,576.5,205.1,51.1,1376.2,374.8,47.3,1126.6999999999998,490.2,1010.4,377.2,1583.2,365.20000000000005,20.2,711,2373.6,50.2,1292.7,1292.7,647.7,1040.1,1092.5,13452.4,1789.1,7395,310.6,2305.1,4231.5,3906.9,2514.8,1901.1,457.2,1230.3,1813.7,7942.1,5057
1999-04-01,80.4,133.8,237.2,150.3,609.4,6480,621.8,536.7,627.5,1729.6,1473.7,1781.4,589.6,2090.5,659,723.3,1830.3000000000002,633.7,554.8,618.3,818.5,128.7,982.1,944,5823.1,1791.9,3068.8,2796.4,7230.9,577.6,205.6,51,1381.4,374.3,47.2,1129.5,492.7,1010.6,381.3,1596.3000000000002,368.7999999999997,20.2,716.3,2375.4,50.7,1293.5,1293.5,649.9,1043,1104.4,13662.6,1791.9,7429,310.5,2311.1,4243.8,3909.7,2518.3,1906.9,461.9,1229,1816.6,7970,5066
1999-05-01,80.6,131,236.3,148,609.3,6516,622.7,538,627.9,1729.2,1471.7,1781.2,589.3,2086.3,660.5,725.4,1830.1,631.2,549,619,814.4,127.9,982.9,946.1,5829.5,1796,3069.9,2794,7259.4,580.6,205.6,50.9,1384.9,373.6,47.1,1134.7,494.7,1016.4,389.7,1612.6,372.3000000000002,20.2,721.4,2376.3,51.2,1295.5,1295.5,652.6,1044.4,1115.7,13714.9,1794.4,7463.1,309.6,2312.7,4244.9,3910.8,2521.8,1911.3,461.79999999999995,1233.5,1821.4,7989.6,5069
1999-06-01,80.7,128.2,234.5,148.9,609.5,6547,622,538.5,624.5,1723.5,1467,1783.3,587.8,2085.4,661.5,722.9,1826.8000000000002,629.3,541.4,617.3,814.9,127.1,981.6,939.9,5837.5,1800.5,3070.8,2796.7,7276.0999999999995,584,207.4,51,1391.3,374.8,46.9,1137.7,496,1017.9,389.5,1622.6999999999998,374.9000000000001,20.3,726.1999999999999,2377.9,51.7,1304.4,1304.4,653.2,1067.5,1138.1,13896.4,1795.8,7504.7,310.6,2313.2,4250.5,3911.4,2526.1,1924.9,463.40000000000003,1240.8,1827,8007.8,5084
1999-07-01,82.3,129.6,234.1,147.7,607.8,6571,622.4,541.4,624.1,1725.4,1473.3,1778.8,589.5,2093,666.5,722.5,1825.8999999999999,627.8,532.7,617.7,812.8,127.7,979.7,947,5851,1807.2,3074.2,2807.5,7302.5,586.6,205.5,51.1,1396.8,370.9,46.6,1140.7,496.8,1022.3,387.8,1638.6,378.2999999999997,20.4,733.7,2379.6,52.3,1313.7,1313.7,654,1068.4,1150.8,13967.800000000001,1797,7550.6,311.4,2317.4,4256.9,3908.1,2530.3,1941.2,463.3,1244.7,1832.3,8005.9,5095
1999-08-01,81.9,129.7,233,149,607.6,6586,623.2,540.3,621.6,1725.8,1462.9,1776.2,585.5,2091.6,669.7,723.5,1826.8,624.8,531,615.2,812,126.8,980.9,949.4,5864.7,1810.8,3077.3,2802.3,7309.7,589.2,203,51.2,1398.3,374.2,46.5,1140.8,498.5,1027.3,386.5,1655.6000000000001,381.5999999999999,20.4,737.5,2377.6,52.8,1310,1310,655.9,1060.5,1162.1,14060.4,1797.8,7563.6,311.5,2321.9,4264.2,3910.5,2535.6,1929.8,465.1,1250,1842.6,8009.3,5097
1999-09-01,81.1,128.4,230.9,150.3,607,6613,624.4,543.3,620.7,1725.3,1460.3,1779.9,584.5,2088.5,671.5,724.1,1831.1999999999998,623.8,523.2,614.7,811,126.3,980.7,948.1,5873.6,1813.5,3073.3,2803.8,7336.2,592.2,204.9,51.6,1402.4,377,46.6,1145.5,501.4,1032.4,388.4,1671.4,383.7999999999997,20.4,739.4,2374.7,53.1,1307.1,1307.1,656.9,1049.7,1166.5,14030.8,1798.6,7554.7,311.6,2318.5,4268.6,3909,2539.2,1944.3,465.9,1266.3,1852.6,8012.2,5104
